times,prey,pred
25,1374.65437788018,52.5345622119821
26,1654.83870967742,35.0230414746544
27,1584.79262672811,52.5345622119821
28,1698.61751152074,17.5115207373277
29,1891.24423963134,78.8018433179728
30,1978.80184331797,105.069124423964
31,1768.66359447005,70.0460829493091
32,1611.0599078341,148.847926267281
33,1532.25806451613,227.649769585254
34,1488.47926267281,218.89400921659
35,1339.63133640553,280.184331797235
36,1015.66820276498,420.276497695853
37,919.354838709678,429.032258064516
38,788.018433179724,455.299539170507
39,770.506912442397,323.963133640553
40,910.599078341014,394.009216589862
41,1076.95852534562,288.940092165899
42,1155.76036866359,210.138248847927
43,1409.67741935484,253.917050691244
44,1147.00460829493,157.603686635945
45,1050.69124423963,87.5576036866365
46,1225.8064516129,61.2903225806454
47,1549.76958525346,113.824884792627
48,1654.83870967742,96.3133640552998
49,1794.93087557604,105.069124423964
50,1584.79262672811,157.603686635945
51,1462.21198156682,262.672811059908
52,1505.99078341014,323.963133640553
53,1541.01382488479,297.695852534563
54,1348.38709677419,280.184331797235
55,1225.8064516129,394.009216589862
56,1173.27188940092,262.672811059908
57,1068.20276497696,464.055299539171
58,1111.98156682028,437.78801843318
59,1103.22580645161,507.834101382489
60,1085.71428571429,446.543778801844
61,910.599078341014,507.834101382489
62,735.483870967742,385.253456221198
63,735.483870967742,113.824884792627
