"","time","pred","prey"
"1",1975,63.3866791512712,6.75611324669984
"2",1976,73.5898760560041,2.44861458244082
"3",1977,6.36456742796005,1.76325966616005
"4",1978,2.67801172858562,11.9127819879154
"5",1979,30.9643276489423,13.8303530286034
"6",1980,174.89383006587,25.1254329234514
"7",1981,215.537374995175,22.2975679491053
"8",1982,85.4354563206272,8.83838773954936
"9",1983,4.31754333118921,1.98688316904575
"10",1984,2.75915748241818,1.34784559570848
"11",1985,25.8867522907939,7.61295001278421
"12",1986,108.480145361889,7.38905609893065
