times,prey,pred
22,628375.993047886,105618226.911764
30,135071523.446983,110038085.754576
47,42859537.2545771,725327468.35811
71,5518737.82238843,1397656966.22301
98,1980322.42332305,696193509.847539
120,32167580.5861815,820250658.170969
143,3815947.34939579,282513090.2513
169,5297068.73392533,271165492.084769
191,3815947.34939579,195344499.523171
