prey_trajectory,pred_trajectory,times
36.2531675797825,1.94551568424501,1
97.6859089827777,1.3476347594297,2
170.799989148923,1.81276618135134,3
394.210691710308,19.2563333663075,4
205.680168863615,320.095943148954,5
7.88890106192294,294.06739602431,6
3.06582812336563,95.8584503123491,7
2.78586055489409,43.1105568310419,8
3.46895418081166,22.2454442300097,9
6.73375114175134,11.4566086535111,10
15.7362817022218,4.21658468757647,11
35.9062789381962,2.18908008617647,12
82.4718366386474,1.29088106672584,13
162.159290595949,1.70806991537335,14
303.057766991562,11.041980741381,15
480.290966262527,293.552192915861,16
13.3479682528128,281.17176314107,17
2.89876911311963,218.082975184807,18
2.48140321199175,50.2718963966864,19
3.00825695196963,36.5345418449691,20
6.34694016142332,13.6764658367809,21
